,species,strain,hit_score.malYcustom,hit_score.cysKcustom,hit_score.metCcustom,hit_score.tnaA,hit_score.cysMcustom,hit_score.lcdcustom,cysteine_expected,hit_score.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604,hit_score.methylmalonyl-CoA-decarboxylaseBeta-KOK20509,hit_score.methylmalonyl-CoA-decarboxylaseDelta-KOK23352,hit_score.methylmalonyl-CoA-decarboxylaseGamma-KOK23351,hit_score.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490,hit_score.methylmalonyl-CoA-carboxyltransferase12S-KOK17489,hit_score.methylmalonyl-CoA-carboxyltransferase5S-KOK03416,hit_score.methylmalonyl-CoA-epimerase-EC5-1-99-1,hit_score.methylmalonyl-CoA-mutase-EC5-4-99-2,pathway,hit_score.acrC,hit_score.lcdC,hit_score.pct,hit_score.lcdA,hit_score.lcdB,hit_score.pduP,hit_score.Roseburia-inulivorans-pduCDE,hit_score.pduW,hit_score.fucO,hit_score.pduL,hit_score.pduC,hit_score.pduD,hit_score.pduE,propionate_expected
136,Lactobacillus plantarum,Lactobacillus_plantarum,521.2,NA,515,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,Lactobacillus reuteri,Lactobacillus_reuteri,509.8,517.8,550.9,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,Lactobacillus rhamnosus,Lactobacillus_rhamnosus,491.5,513,462.6,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,Lactobacillus ruminis,Lactobacillus-ruminis-ATCC-25644-MAF-2,487.6,504.5,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,Lactobacillus salivarius,Lactobacillus_salivarius,507.5,506,529.9,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,Leuconostoc mesenteroides,Leuconostoc_mesenteroides,NA,NA,528.7,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,Leuconostoc pseudomesenteroides,Leuconostoc_pseudomesenteroides,NA,NA,517.7,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,Mannheimia granulomatis,Mannheimia_granulomatis,NA,475.3,546.2,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,Microvirgula aerodenitrificans,Microvirgula_aerodenitrificans,NA,537.8,499.4,NA,489.7,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,Mitsuokella jalaludinii,Mitsuokella_jalaludinii,586.3,547.7,474.1,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,Murimonas intestini,Murimonas_intestini,NA,550.5,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,Nitriliruptor alkaliphilus,Nitriliruptor_alkaliphilus,NA,NA,490.9,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,Odoribacter splanchnicus,Odoribacter_splanchnicus,547.5,NA,NA,878.6,NA,NA,yes,910.7,596.9,109.1,169.7,NA,NA,NA,232.8,835.7,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
153,Ornithobacterium rhinotracheale,Ornithobacterium_rhinotracheale,556.1,452.6,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,Parabacteroides distasonis,Parabacteroides_distasonis,596.2,546.7,NA,NA,NA,96.5,yes,941.3,610.3,93.4,193.7,NA,NA,NA,244,842.9,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
155,Parabacteroides goldsteinii,Parabacteroides_goldsteinii,596.9,549.6,NA,NA,NA,93.2,yes,941.5,611.8,96.5,195.5,NA,NA,NA,245.1,843.9,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
157,Parabacteroides merdae,Parabacteroides-merdae-ATCC-43184-MAF-2,588.7,549.3,NA,NA,NA,94.4,yes,940.7,612.1,96.4,196.4,NA,NA,NA,244.3,856.3,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
159,Pediococcus acidilactici,Pediococcus_acidilactici,527.6,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,Peptoniphilus harei,Peptoniphilus_harei,NA,439.8,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,Porphyromonas asaccharolytica,Porphyromonas_asaccharolytica,NA,NA,457.8,861.4,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,Porphyromonas uenonis,Porphyromonas_uenonis,NA,NA,460.7,853.9,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,Prevotella baroniae,Prevotella_baroniae,589.7,539.6,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,Prevotella bivia,Prevotella_bivia,558.8,535,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,Prevotella dentalis,Prevotella_dentalis,557.6,520.3,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,Prevotella micans,Prevotella_micans,558,NA,NA,854.2,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,Prevotella multisaccharivorax,Prevotella_multisaccharivorax,551.2,534.3,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,Prevotella veroralis,Prevotella_veroralis,NA,548.9,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,Propionimicrobium lymphophilum,Propionimicrobium_lymphophilum,NA,472.7,445.9,NA,NA,NA,yes,784.6,NA,NA,NA,147.5,846.4,998.4,162.6,775.2,Wood-Werkman Cycle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
178,Proteus mirabilis,Proteus_mirabilis,463.2,520.1,540.6,NA,528.8,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,Pseudomonas aeruginosa,Pseudomonas_aeruginosa,NA,520.7,516.3,NA,551.3,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,Rheinheimera perlucida,Rheinheimera_perlucida,466.1,500.5,590.6,NA,515.1,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,Rheinheimera texasensis,Rheinheimera_texasensis,NA,509.4,587.8,NA,525.7,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,Riemerella columbina,Riemerella_columbina,NA,465.4,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,Roseburia faecis,Roseburia_faecis,538.6,551.3,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,Roseburia intestinalis,Roseburia-intestinalis-L1-82-MAF-2,593.2,543.1,473.6,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,Roseburia inulinivorans,Roseburia_inulinivorans,571.8,519.5,475,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,Roseburia inulinivorans,Roseburia-inulinivorans-strain-AF28-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,propanediol pathway,NA,NA,NA,NA,NA,528.6,816.2,464.6,609.2,200.9,NA,NA,NA,yes
187,Ruminococcus bicirculans,Ruminococcus_bicirculans,NA,519,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,Ruminococcus bromii,Ruminococcus_bromii,NA,523.6,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,Sellimonas intestinalis,Sellimonas_intestinalis,553.6,527.2,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,Staphylococcus epidermidis,Staphylococcus_epidermidis,NA,533.8,528,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,Staphylococcus lentus,Staphylococcus_lentus,512.3,534.8,456.1,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,Staphylococcus nepalensis,Staphylococcus_nepalensis,553.9,527.9,474.4,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,Staphylococcus xylosus,Staphylococcus_xylosus,NA,529.9,522.7,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,Stenotrophomonas maltophilia,Stenotrophomonas_maltophilia,NA,484,505,NA,NA,116.8,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,Streptococcus agalactiae,Streptococcus_agalactiae,507.4,499.6,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,Streptococcus anginosus,Streptococcus_anginosus,544.2,506.3,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,Streptococcus caballi,Streptococcus_caballi,524.9,517.3,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,Streptococcus castoreus,Streptococcus_castoreus,NA,512.7,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,Streptococcus didelphis,Streptococcus_didelphis,NA,506.8,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,Streptococcus henryi,Streptococcus_henryi,531.8,507.4,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,Streptococcus hyovaginalis,Streptococcus_hyovaginalis,511.8,508,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,Streptococcus lutetiensis,Streptococcus_lutetiensis,525.2,511.8,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,Streptococcus merionis,Streptococcus_merionis,525.7,520.7,501.5,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,Streptococcus mutans,Streptococcus_mutans,518.8,508.6,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,Streptococcus oralis,Streptococcus_oralis,523.5,502.2,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,Streptococcus ovis,Streptococcus_ovis,522.2,509.6,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,Streptococcus parasanguinis,Streptococcus_parasanguinis,524.8,512.7,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,Streptococcus plurextorum,Streptococcus_plurextorum,NA,513.9,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,Streptococcus porci,Streptococcus_porci,528.4,510,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,Streptococcus pyogenes,Streptococcus_pyogenes,NA,512,502.6,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,Streptococcus salivarius,Streptococcus_salivarius,526.6,513.7,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,Streptococcus sobrinus,Streptococcus_sobrinus,516.8,509.8,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,Streptococcus thoraltensis,Streptococcus_thoraltensis,518.4,498.4,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,Sutterella wadsworthensis,Sutterella_wadsworthensis,508,443.7,504.2,NA,514.1,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,Turicibacter sanguinis,Turicibacter_sanguinis,NA,523.5,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,Varibaculum cambriense,Varibaculum_cambriense,NA,496.3,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,Veillonella parvula,Veillonella_parvula,571.8,517.6,521.4,NA,NA,NA,yes,889.1,562.7,106.8,150.1,NA,NA,NA,205.5,803.3,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
226,Veillonella parvula,Veillonella_parvula_strain_NCTC11810,NA,NA,NA,NA,NA,NA,NA,889.1,562.7,106.8,150.1,NA,NA,NA,205.5,803.3,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
229,Vibrio cincinnatiensis,Vibrio_cincinnatiensis,NA,513.2,587.2,NA,530.4,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
